,City,Count,Latitude,Longitude,Weight,Comment
0,Ciudad,112,,,35.0,"Weight = 35, letters > 48"
1,Bilbao,16,43°15′25″N,2°55′25″W,25.0,"Weight = 25, letters 12 ~ 24"
2,Not listed,329,,,35.0,"Weight = 35, letters > 48"
3,Espulgas Francoli [Tarragona] ,1,,,10.0,"Weight = 10, letters < 3"
4,Almería,6,36°50′25″N,2°28′05″W,15.0,"Weight = 15, letters 3 ~ 6"
5,Madrid,64,40°25′N,3°43′W,35.0,"Weight = 35, letters > 48"
6,Gijón,6,43°32′N,5°42′W,15.0,"Weight = 15, letters 3 ~ 6"
7,"Valladolid [assuming Spain, not Mexico] ",1,,,10.0,"Weight = 10, letters < 3"
8,Alcanar ,1,40°32′38″N,0°28′55″E,10.0,"Weight = 10, letters < 3"
9,Igualada,2,41°35′N,1°37′E,10.0,"Weight = 10, letters < 3"
10,Vigo,3,42°13′53″N,8°42′45″W,10.0,"Weight = 10, letters < 3"
11,Palma de Mallorca,6,39°34′N,2°39′E,15.0,"Weight = 15, letters 3 ~ 6"
12,Zaragoza,19,41°39′N,0°53′W,25.0,"Weight = 25, letters 12 ~ 24"
13,Larache,7,35°11′N,6°9′W,20.0,"Weight = 20, letters 6 ~ 12"
14,Valladolid,22,41°39′10″N,4°43′25″W,25.0,"Weight = 25, letters 12 ~ 24"
15,Cartagena,6,,,15.0,"Weight = 15, letters 3 ~ 6"
16,Santa Cruz de Tenerife,2,28°28′N,16°15′W,10.0,"Weight = 10, letters < 3"
17,Huesca,8,42°8′N,0°25′W,20.0,"Weight = 20, letters 6 ~ 12"
18,Valencia,44,39°28′00″N,0°22′30″W,30.0,"Weight = 30, letters 24 ~ 48"
19,Cambre,2,43°16′59″N,8°19′59″W,10.0,"Weight = 10, letters < 3"
20,San Sebastián ,3,43°19′17″N,1°59′8″W,10.0,"Weight = 10, letters < 3"
21,Málaga,37,36°43′10″N,4°25′12″W,30.0,"Weight = 30, letters 24 ~ 48"
22,Lérida,9,41°37′00″N,00°38′00″E,20.0,"Weight = 20, letters 6 ~ 12"
23,"Tetuán [assuming Morroco, not neighborhood of Madrid] ",1,,,10.0,"Weight = 10, letters < 3"
24,Alcoy,4,38°41′54″N,0°28′25″W,15.0,"Weight = 15, letters 3 ~ 6"
25,Lorca,4,,,15.0,"Weight = 15, letters 3 ~ 6"
26,Baracaldo,1,43°17′50″N,2°59′30″W,10.0,"Weight = 10, letters < 3"
27,Alcanar,2,40°32′38″N,0°28′55″E,10.0,"Weight = 10, letters < 3"
28,Trubia,1,43°19′58″N,5°59′16″W,10.0,"Weight = 10, letters < 3"
29,Hospitalet de Llobregat,2,41°21′35″N,2°6′00″E,10.0,"Weight = 10, letters < 3"
30,Santander,10,,,20.0,"Weight = 20, letters 6 ~ 12"
31,Villanueva y Geltrú,3,41°13′27″N,1°43′32″E,10.0,"Weight = 10, letters < 3"
32,Barcelona,2,41°23′N,2°11′E,10.0,"Weight = 10, letters < 3"
33,Madrid ,1,40°25′N,3°43′W,10.0,"Weight = 10, letters < 3"
34,Las Palmas,11,28°9′N,15°25′W,20.0,"Weight = 20, letters 6 ~ 12"
35,"Ginebra (Suiza) [Geneva, Swiss.] ",1,,,10.0,"Weight = 10, letters < 3"
36,Alicante,12,38°20′43″N,0°28′59″W,20.0,"Weight = 20, letters 6 ~ 12"
37,Benejúzar (Alicante),1,,,10.0,"Weight = 10, letters < 3"
38,Oviedo,2,43°21′36″N,5°50′42″W,10.0,"Weight = 10, letters < 3"
39,Algeciras,3,36°7′39″N,5°27′14″W,10.0,"Weight = 10, letters < 3"
40,Tarragona,16,41°06′56.51″N,1°14′58.54″E,25.0,"Weight = 25, letters 12 ~ 24"
41,San Feliu de Guixols,8,,,20.0,"Weight = 20, letters 6 ~ 12"
42,Tánger [Morroco] ,1,,,10.0,"Weight = 10, letters < 3"
43,Premiá de Mar ,1,41°29′31″N,2°21′43″E,10.0,"Weight = 10, letters < 3"
44,Vitoria,5,,,15.0,"Weight = 15, letters 3 ~ 6"
45,Casas Ibáñez,1,,,10.0,"Weight = 10, letters < 3"
46,Melilla,11,35°18′N,2°57′W,20.0,"Weight = 20, letters 6 ~ 12"
47,"Rambla, 43, Igualada",1,,,10.0,"Weight = 10, letters < 3"
48,Vergara [Bergara] ,1,,,10.0,"Weight = 10, letters < 3"
49,Blanca,1,,,10.0,"Weight = 10, letters < 3"
50,Vich [Vic] ,1,,,10.0,"Weight = 10, letters < 3"
51,Sevilla,16,37°23′N,5°59′W,25.0,"Weight = 25, letters 12 ~ 24"
52,Carballo,1,43°13′0″N,8°41′0″W,10.0,"Weight = 10, letters < 3"
53,Figueras,1,42°16′00″N,2°57′54″E,10.0,"Weight = 10, letters < 3"
54,Palafrugell (Gerona),1,,,10.0,"Weight = 10, letters < 3"
55,Almansa,4,38°52′06.1″N,1°05′40.4″W,15.0,"Weight = 15, letters 3 ~ 6"
56,Tetuán [Morroco] ,7,,,20.0,"Weight = 20, letters 6 ~ 12"
57,Granada,10,37°10′41″N,3°36′03″W,20.0,"Weight = 20, letters 6 ~ 12"
58,Jaca,5,42°33′N,0°33′W,15.0,"Weight = 15, letters 3 ~ 6"
59,Murcia,3,37°59′10″N,1°7′49″W,10.0,"Weight = 10, letters < 3"
60,Salamanca,11,40°58′N,5°40′W,20.0,"Weight = 20, letters 6 ~ 12"
61,Cádiz,9,36°32′06″N,06°17′51″W,20.0,"Weight = 20, letters 6 ~ 12"
62,Los Dolores,1,,,10.0,"Weight = 10, letters < 3"
63,Tárrega,1,,,10.0,"Weight = 10, letters < 3"
64,Yecla,1,38°37′0.01″N,1°7′0.01″W,10.0,"Weight = 10, letters < 3"
65,Ciuad,1,,,10.0,"Weight = 10, letters < 3"
66,Caldos de Montbuy [Caldes de Montbui] ,1,,,10.0,"Weight = 10, letters < 3"
67,Terreno [Palma de Mallorca?] ,2,,,10.0,"Weight = 10, letters < 3"
68,Noya,2,,,10.0,"Weight = 10, letters < 3"
69,León,6,,,15.0,"Weight = 15, letters 3 ~ 6"
70,Albacete,3,38°59′44″N,1°51′21″W,10.0,"Weight = 10, letters < 3"
71,Borja,3,,,10.0,"Weight = 10, letters < 3"
72,San Fernando,1,,,10.0,"Weight = 10, letters < 3"
73,Palencia,1,42°1′N,4°32′W,10.0,"Weight = 10, letters < 3"
74,Burgos,2,42°21′00″N,3°42′24″W,10.0,"Weight = 10, letters < 3"
75,Calatayud,2,41°21′0″N,1°38′0″W,10.0,"Weight = 10, letters < 3"
76,Benejúzar,1,38°4′40″N,0°50′19″W,10.0,"Weight = 10, letters < 3"
77,La Felguera,1,43°18′37″N,5°41′31″W,10.0,"Weight = 10, letters < 3"
78,Pueblonuevo del Terrible,1,38°18′N,5°16′W,10.0,"Weight = 10, letters < 3"
79,Marin,1,,,10.0,"Weight = 10, letters < 3"
80,Linares,4,,,15.0,"Weight = 15, letters 3 ~ 6"
81,Alcazarquivir,1,34°59′56″N,5°54′10″W,10.0,"Weight = 10, letters < 3"
82,Port-Bou,4,,,15.0,"Weight = 15, letters 3 ~ 6"
83,San Feliu de Llobregat,1,,,10.0,"Weight = 10, letters < 3"
84,Huelva,6,37°15′N,6°57′W,15.0,"Weight = 15, letters 3 ~ 6"
85,San Sebastián,5,43°19′17″N,1°59′8″W,15.0,"Weight = 15, letters 3 ~ 6"
86,Elda,5,38°28′44″N,0°47′48″W,15.0,"Weight = 15, letters 3 ~ 6"
87,Reus,2,41°09′22″N,1°06′29″E,10.0,"Weight = 10, letters < 3"
88,Calahorra,1,42°18′00″N,1°58′00″W,10.0,"Weight = 10, letters < 3"
89,Logroño,4,42°27′54″N,2°26′44″W,15.0,"Weight = 15, letters 3 ~ 6"
90,Castellfullit de la Roca,1,42°13′17″N,2°33′3″E,10.0,"Weight = 10, letters < 3"
91,Arriate,1,36°47′57″N,5°8′27″W,10.0,"Weight = 10, letters < 3"
92,Palma,7,,,20.0,"Weight = 20, letters 6 ~ 12"
93,Badajoz,5,38°52′49″N,6°58′31″W,15.0,"Weight = 15, letters 3 ~ 6"
94,Tánger,3,35°46′36″N,05°48′14″W,10.0,"Weight = 10, letters < 3"
95,Arenys de Mar,1,41°34′55″N,2°33′1″E,10.0,"Weight = 10, letters < 3"
96,Monóvar,1,38°26′13″N,0°50′17″W,10.0,"Weight = 10, letters < 3"
97,Castellón,2,,,10.0,"Weight = 10, letters < 3"
98,Elche,5,38°16′1″N,0°41′54″W,15.0,"Weight = 15, letters 3 ~ 6"
99,Santoña,1,43°26′29″N,3°27′27″W,10.0,"Weight = 10, letters < 3"
100,Sabadell,6,41°32′54.93″N,2°6′27″E,15.0,"Weight = 15, letters 3 ~ 6"
101,DELETE/Mistaken Entry,3,,,10.0,"Weight = 10, letters < 3"
102,Ripoll,1,42°12′2″N,2°11′34″E,10.0,"Weight = 10, letters < 3"
103,Lisboa [Portugal] ,3,,,10.0,"Weight = 10, letters < 3"
104,Torrevieja,2,37°58′40″N,0°41′0″W,10.0,"Weight = 10, letters < 3"
105,Premiá del Mar,2,,,10.0,"Weight = 10, letters < 3"
106,Palafrugell,3,41°55′9″N,3°9′55″E,10.0,"Weight = 10, letters < 3"
107,Ciudad ,1,,,10.0,"Weight = 10, letters < 3"
108,Tetuán,7,35°34′N,5°22′W,20.0,"Weight = 20, letters 6 ~ 12"
109,"Guadalajara [assuming Spain, not Mexico] ",1,,,10.0,"Weight = 10, letters < 3"
110,Peña,1,,,10.0,"Weight = 10, letters < 3"
111,Basilea (Switzerland),1,,,10.0,"Weight = 10, letters < 3"
112,Palamós,1,41°51′00″N,3°07′45″E,10.0,"Weight = 10, letters < 3"
113,Tenerife,2,28°16′7″N,16°36′20″W,10.0,"Weight = 10, letters < 3"
114,Santa Coloma de Queralt,4,41°32′N,1°23′E,15.0,"Weight = 15, letters 3 ~ 6"
115,Torrelavega,1,43°21′11″N,4°2′45″W,10.0,"Weight = 10, letters < 3"
116,Ramla,1,31°55′39″N,34°51′45″E,10.0,"Weight = 10, letters < 3"
117,Tortosa,8,40°48′46″N,0°31′24″E,20.0,"Weight = 20, letters 6 ~ 12"
118,Hoyos,1,39°42′N,6°21′W,10.0,"Weight = 10, letters < 3"
119,Jerez,3,36°40′54″N,06°08′16″W,10.0,"Weight = 10, letters < 3"
120,Puertollano,1,38°41′N,4°7′W,10.0,"Weight = 10, letters < 3"
121,Premiá de Mar,1,41°29′31″N,2°21′43″E,10.0,"Weight = 10, letters < 3"
122,Valdemoro,1,40°11′27″N,3°40′27″W,10.0,"Weight = 10, letters < 3"
123,Nerva,1,,,10.0,"Weight = 10, letters < 3"
124,Caratega,1,,,10.0,"Weight = 10, letters < 3"
125,Tarrasa,3,41°34′12″N,2°00′47″E,10.0,"Weight = 10, letters < 3"
126,Linares (Jaén),1,38°05′N,3°38′W,10.0,"Weight = 10, letters < 3"
127,Córdoba,4,,,15.0,"Weight = 15, letters 3 ~ 6"
128,Ceuta [Morroco] ,5,,,15.0,"Weight = 15, letters 3 ~ 6"
129,Pueblo Nuevo del Terrible,2,,,10.0,"Weight = 10, letters < 3"
130,Arrecife,1,28°57′45″N,13°33′2″W,10.0,"Weight = 10, letters < 3"
131,Sans [neighborhood in Barcelona] ,1,,,10.0,"Weight = 10, letters < 3"
132,Pasajes (Guipúzcoa),1,,,10.0,"Weight = 10, letters < 3"
133,Adeje (Canarias),1,,,10.0,"Weight = 10, letters < 3"
134,Sanlúcar de Barrameda,2,36°46′N,6°21′W,10.0,"Weight = 10, letters < 3"
135,San Cugat,2,,,10.0,"Weight = 10, letters < 3"
136,Hondón de las Nieves,1,38°18′29″N,0°51′14″W,10.0,"Weight = 10, letters < 3"
137,Nador,2,35°10′0″N,02°56′0″W,10.0,"Weight = 10, letters < 3"
138,Puerto Valencia,1,,,10.0,"Weight = 10, letters < 3"
139,Valencia ,3,39°28′00″N,0°22′30″W,10.0,"Weight = 10, letters < 3"
140,Manresa,2,41°43′46″N,1°49′38″E,10.0,"Weight = 10, letters < 3"
141,Id.,1,,,10.0,"Weight = 10, letters < 3"
142,Ronda,1,36°44′46″N,5°9′40″W,10.0,"Weight = 10, letters < 3"
143,Alta Mar,1,,,10.0,"Weight = 10, letters < 3"
144,Amposta,1,40°42′38″N,0°34′51″E,10.0,"Weight = 10, letters < 3"
145,Santiago,1,33°27′S,70°40′W,10.0,"Weight = 10, letters < 3"
146,Baleares,1,,,10.0,"Weight = 10, letters < 3"
147,Morata del Tajuña,1,,,10.0,"Weight = 10, letters < 3"
148,Olot.,1,,,10.0,"Weight = 10, letters < 3"
149,Pamplona,5,42°49′N,1°39′W,15.0,"Weight = 15, letters 3 ~ 6"
150,Andújar,1,38°2′21.25″N,4°3′2.02″W,10.0,"Weight = 10, letters < 3"
151,Avilés,1,43°33′22″N,5°54′30″W,10.0,"Weight = 10, letters < 3"
152,Ceuta,5,35°53′18″N,5°18′56″W,15.0,"Weight = 15, letters 3 ~ 6"
153,Marruecos,1,,,10.0,"Weight = 10, letters < 3"
154,Mérida,1,,,10.0,"Weight = 10, letters < 3"
155,Zamora,1,,,10.0,"Weight = 10, letters < 3"
156,Ciudad Real,3,38°59′N,3°55′W,10.0,"Weight = 10, letters < 3"
157,Cabañal,1,,,10.0,"Weight = 10, letters < 3"
158,Pax-Augusta,1,,,10.0,"Weight = 10, letters < 3"
159,La Ciudad Eterna,1,,,10.0,"Weight = 10, letters < 3"
160,Cuba,1,22°00′N,80°00′W,10.0,"Weight = 10, letters < 3"
161,Coruña,1,43°21′54″N,8°24′36″W,10.0,"Weight = 10, letters < 3"
162,Cáceres,2,,,10.0,"Weight = 10, letters < 3"
163,Lorea,1,,,10.0,"Weight = 10, letters < 3"
164,Gandía,1,38°58′N,0°11′W,10.0,"Weight = 10, letters < 3"
165,Gerona,2,,,10.0,"Weight = 10, letters < 3"
166,Adeje (Tenerife),1,,,10.0,"Weight = 10, letters < 3"
167,Patronato Militar,1,,,10.0,"Weight = 10, letters < 3"
168,Segovia,2,40°56′53″N,4°7′6″W,10.0,"Weight = 10, letters < 3"
169,Soria,4,41°46′N,2°28′W,15.0,"Weight = 15, letters 3 ~ 6"
170,Játiva,1,38°59′25″N,0°31′16″W,10.0,"Weight = 10, letters < 3"
171,Espolar,1,,,10.0,"Weight = 10, letters < 3"
172,Habana ,1,23°08′12″N,82°21′32″W,10.0,"Weight = 10, letters < 3"
173,Teruel,1,40°20′37″N,1°6′26″W,10.0,"Weight = 10, letters < 3"
174,Vinaroz (Valencia),1,,,10.0,"Weight = 10, letters < 3"
175,Torrente (Valencia) ,1,,,10.0,"Weight = 10, letters < 3"
176,Torelló,1,42°02′58″N,2°15′54″E,10.0,"Weight = 10, letters < 3"
177,Vich ,1,,,10.0,"Weight = 10, letters < 3"
178,Baracaldo (Bilbao),1,,,10.0,"Weight = 10, letters < 3"
179,Crevillente,1,38°14′55″N,0°48′32″W,10.0,"Weight = 10, letters < 3"
180,Osuna,1,37°14′N,05°06′W,10.0,"Weight = 10, letters < 3"
181,Lugo,1,43°01′N,7°33′W,10.0,"Weight = 10, letters < 3"
182,Horna de Gallego,1,,,10.0,"Weight = 10, letters < 3"
183,Picasent,1,,,10.0,"Weight = 10, letters < 3"
184,Langreo (Asturias) ,1,,,10.0,"Weight = 10, letters < 3"
185,San Hipólito de Voltregá,1,42°1′2″N,2°14′20″E,10.0,"Weight = 10, letters < 3"
186,Buenos Aires [Argentina] ,1,,,10.0,"Weight = 10, letters < 3"
187,Navarra,1,42°49′N,1°39′W,10.0,"Weight = 10, letters < 3"
188,Villareal,1,39°56′16″N,0°6′5″W,10.0,"Weight = 10, letters < 3"
189,Las Palmas (Canarias),1,,,10.0,"Weight = 10, letters < 3"
190,Suria,1,,,10.0,"Weight = 10, letters < 3"
191,Sitges ,1,41°14′13″N,1°49′23″E,10.0,"Weight = 10, letters < 3"
192,Morón,1,34°39′S,58°37′W,10.0,"Weight = 10, letters < 3"
